monthly_income,credit_utilization,debt_to_income,savings_rate,missed_payments_12m,age,risk_flag
164701,0.118,0.052,0.148,4,51,1
80680,0.309,0.276,0.373,0,64,1
89351,0.759,0.55,0.264,1,48,1
78932,0.633,0.777,0.355,0,24,1
100638,0.586,0.709,0.407,3,28,1
99715,0.68,0.804,0.175,3,49,1
30449,0.85,0.638,0.232,0,26,1
196763,0.802,0.51,0.423,5,38,1
220044,0.731,0.426,0.258,2,32,0
134264,0.621,0.443,-0.05,2,47,1
195671,0.144,0.179,0.126,3,39,1
124976,0.782,0.49,0.15,2,37,1
222518,0.414,0.462,0.443,5,55,1
34209,0.219,0.339,0.316,5,49,1
73361,0.29,0.155,0.058,5,52,1
185156,0.598,0.241,-0.013,4,21,1
44434,0.252,0.723,-0.038,0,62,0
150646,0.889,0.283,0.288,3,51,1
83892,0.461,0.166,0.005,4,53,1
55784,0.828,0.271,0.335,3,42,1
153100,0.29,0.052,0.299,4,58,0
148356,0.829,0.407,0.166,2,56,1
118883,0.46,0.307,0.004,5,36,1
81226,0.82,0.379,0.075,3,45,1
193982,0.763,0.572,-0.016,0,29,1
174712,0.349,0.13,0.365,0,54,0
24023,0.7,0.378,0.26,1,25,1
89474,0.355,0.604,0.257,2,64,1
119617,0.909,0.551,0.388,3,55,1
37936,0.261,0.598,0.058,1,26,1
45806,0.734,0.613,-0.045,1,65,1
27588,0.091,0.687,0.061,2,48,1
159242,0.421,0.595,-0.001,1,26,1
120281,0.608,0.243,0.402,1,35,1
86578,0.464,0.583,0.394,3,39,1
61412,0.116,0.806,0.443,2,61,0
200961,0.275,0.726,0.01,3,51,1
119972,0.565,0.51,0.446,2,22,0
192550,0.406,0.056,0.376,5,24,1
215342,0.497,0.773,0.057,1,59,1
77410,0.623,0.547,0.273,5,63,1
55855,0.615,0.773,0.255,2,49,1
115646,0.709,0.122,0.062,5,47,1
54644,0.758,0.751,0.101,4,38,1
87363,0.873,0.805,0.432,2,42,1
142770,0.917,0.163,0.432,5,64,1
241706,0.774,0.343,0.335,0,37,0
139219,0.382,0.649,0.044,3,61,1
48402,0.657,0.427,0.241,4,41,1
78030,0.633,0.558,0.155,5,40,1
50585,0.176,0.807,0.067,3,28,1
160914,0.172,0.413,0.269,5,65,1
129871,0.579,0.631,0.387,5,27,1
181389,0.417,0.811,-0.082,2,34,1
81895,0.82,0.129,0.277,4,62,1
124369,0.298,0.825,0.422,3,26,1
188218,0.626,0.827,-0.072,2,36,0
226301,0.558,0.105,0.321,1,58,1
247985,0.26,0.669,0.334,4,21,1
57929,0.939,0.482,0.339,0,63,1
54551,0.063,0.682,0.031,2,22,1
33736,0.164,0.387,-0.037,0,51,1
114906,0.512,0.137,0.177,4,23,1
247273,0.643,0.291,0.254,0,24,0
242114,0.411,0.599,0.17,3,25,1
104439,0.597,0.103,0.051,5,58,1
105245,0.393,0.528,0.062,4,59,1
227905,0.682,0.732,0.258,4,34,1
79898,0.422,0.712,0.119,5,27,1
101926,0.649,0.349,-0.016,3,25,1
42377,0.134,0.127,0.306,1,56,1
167216,0.556,0.586,0.126,5,48,1
209021,0.096,0.28,0.072,0,57,0
60561,0.641,0.229,-0.04,4,44,1
93024,0.567,0.696,0.365,4,60,1
165945,0.074,0.793,0.356,2,22,1
204208,0.736,0.787,0.093,1,30,1
125063,0.113,0.643,0.434,0,54,1
130056,0.458,0.176,0.071,2,57,1
33791,0.19,0.654,-0.073,0,38,1
131152,0.487,0.404,0.05,4,28,1
49069,0.305,0.593,0.168,5,40,1
123615,0.936,0.094,0.012,1,29,1
95876,0.345,0.056,0.311,1,29,1
204463,0.257,0.497,0.267,2,25,1
214521,0.088,0.065,0.407,2,57,0
126017,0.689,0.384,-0.037,0,41,1
182037,0.464,0.602,0.099,3,27,1
174369,0.41,0.113,0.379,5,42,1
224241,0.201,0.458,-0.037,4,33,1
111586,0.366,0.817,0.255,1,36,1
87100,0.228,0.532,0.318,5,25,1
222597,0.615,0.421,0.21,4,49,1
167978,0.629,0.839,0.078,5,41,1
37900,0.472,0.555,0.338,4,24,1
39448,0.329,0.412,-0.069,2,25,1
244210,0.131,0.525,0.111,4,56,0
213703,0.856,0.41,0.345,5,33,1
144683,0.501,0.816,0.148,2,26,1
65235,0.085,0.616,0.445,4,54,1
115393,0.386,0.276,0.125,2,64,1
226891,0.618,0.318,0.081,4,64,1
86059,0.701,0.575,0.398,1,42,1
193961,0.177,0.33,0.432,5,63,1
175986,0.688,0.118,0.207,5,42,1
195666,0.683,0.808,0.448,4,26,1
130993,0.508,0.065,0.07,1,42,0
147473,0.223,0.85,-0.015,2,27,1
161497,0.802,0.757,-0.079,2,60,1
118754,0.189,0.195,0.281,4,31,1
31453,0.42,0.591,0.031,3,60,1
216224,0.755,0.237,0.032,3,33,1
169532,0.936,0.419,0.055,3,53,1
62482,0.785,0.691,-0.024,2,24,1
249144,0.384,0.797,0.291,4,28,1
220046,0.194,0.409,0.182,3,26,0
78205,0.785,0.758,0.412,3,24,1
118031,0.262,0.846,0.106,0,41,0
239985,0.693,0.318,-0.02,0,39,0
143851,0.676,0.161,0.288,3,60,1
40768,0.067,0.223,-0.018,5,59,1
49146,0.749,0.24,-0.033,1,47,1
183266,0.461,0.139,0.398,4,55,1
155102,0.568,0.625,0.06,0,60,1
169596,0.425,0.581,-0.053,2,25,0
162627,0.507,0.841,0.205,3,51,1
121418,0.933,0.253,-0.091,0,43,1
192255,0.615,0.667,0.304,2,29,1
163134,0.355,0.564,0.357,5,50,1
145444,0.619,0.699,-0.065,3,23,1
31483,0.762,0.759,0.074,2,53,1
233753,0.539,0.253,0.314,1,39,1
224692,0.093,0.575,0.05,2,48,0
214853,0.446,0.815,0.086,1,52,1
116297,0.882,0.465,0.341,5,48,1
177929,0.946,0.194,0.062,0,26,1
97500,0.326,0.532,0.134,5,49,1
31103,0.704,0.779,0.238,3,38,1
