Date,Description,Category,Amount,Type,Account
2024-01-01,Salary,Income,98238,income,Primary Checking
2024-01-02,Café,Dining,-210,expense,UPI Wallet
2024-01-03,Rent,Housing,-24386,expense,Primary Checking
2024-01-03,Mutual Fund Dividend,Income,1809,income,Brokerage
2024-01-05,SIP Investment,Investments,-12475,expense,Brokerage
2024-01-07,Swiggy,Dining,-726,expense,UPI Wallet
2024-01-07,Mutual Fund Dividend,Income,2066,income,Brokerage
2024-01-09,Internet,Utilities,-941,expense,Credit Card
2024-01-11,Gym Membership,Health,-2019,expense,Credit Card
2024-01-11,Cash Withdrawal,Cash,-1069,expense,ATM
2024-01-13,Streaming Bundle,Entertainment,-1149,expense,Credit Card
2024-01-14,Mutual Fund Dividend,Income,1051,income,Brokerage
2024-01-19,Electricity Board,Utilities,-1669,expense,Primary Checking
2024-01-20,Mutual Fund Dividend,Income,654,income,Brokerage
2024-01-23,Uber,Transport,-552,expense,UPI Wallet
2024-01-24,Uber,Transport,-224,expense,UPI Wallet
2024-01-25,BigBasket,Groceries,-5100,expense,Credit Card
2024-02-01,Salary,Income,94273,income,Primary Checking
2024-02-02,Swiggy,Dining,-716,expense,UPI Wallet
2024-02-03,Rent,Housing,-24280,expense,Primary Checking
2024-02-03,Café,Dining,-745,expense,UPI Wallet
2024-02-03,Apollo Pharmacy,Health,-726,expense,Credit Card
2024-02-04,Café,Dining,-547,expense,UPI Wallet
2024-02-04,Mutual Fund Dividend,Income,2592,income,Brokerage
2024-02-05,SIP Investment,Investments,-11520,expense,Brokerage
2024-02-07,Freelance Project,Income,19543,income,Primary Checking
2024-02-09,Internet,Utilities,-919,expense,Credit Card
2024-02-11,Gym Membership,Health,-1956,expense,Credit Card
2024-02-13,Streaming Bundle,Entertainment,-1295,expense,Credit Card
2024-02-20,Amazon,Shopping,-2866,expense,Credit Card
2024-02-24,BigBasket,Groceries,-3681,expense,Credit Card
2024-02-27,Apollo Pharmacy,Health,-990,expense,Credit Card
2024-02-28,Cash Withdrawal,Cash,-706,expense,ATM
2024-03-01,Salary,Income,96113,income,Primary Checking
2024-03-03,Rent,Housing,-24216,expense,Primary Checking
2024-03-05,SIP Investment,Investments,-12036,expense,Brokerage
2024-03-07,Cash Withdrawal,Cash,-2370,expense,ATM
2024-03-08,BigBasket,Groceries,-5166,expense,Credit Card
2024-03-09,Internet,Utilities,-1050,expense,Credit Card
2024-03-09,Café,Dining,-247,expense,UPI Wallet
2024-03-11,Gym Membership,Health,-1446,expense,Credit Card
2024-03-12,Amazon,Shopping,-2416,expense,Credit Card
2024-03-13,Streaming Bundle,Entertainment,-1026,expense,Credit Card
2024-03-15,Uber,Transport,-508,expense,UPI Wallet
2024-03-21,Freelance Project,Income,10803,income,Primary Checking
2024-03-21,Apollo Pharmacy,Health,-1390,expense,Credit Card
2024-03-22,Bookstore,Education,-1064,expense,Credit Card
2024-03-23,Apollo Pharmacy,Health,-396,expense,Credit Card
2024-03-24,Mutual Fund Dividend,Income,1101,income,Brokerage
2024-03-26,BigBasket,Groceries,-3092,expense,Credit Card
2024-04-01,Salary,Income,97646,income,Primary Checking
2024-04-03,Rent,Housing,-23603,expense,Primary Checking
2024-04-03,Electricity Board,Utilities,-2647,expense,Primary Checking
2024-04-05,SIP Investment,Investments,-11765,expense,Brokerage
2024-04-05,Bookstore,Education,-1443,expense,Credit Card
2024-04-09,Internet,Utilities,-1378,expense,Credit Card
2024-04-09,Uber,Transport,-262,expense,UPI Wallet
2024-04-09,Mutual Fund Dividend,Income,2129,income,Brokerage
2024-04-11,Gym Membership,Health,-2083,expense,Credit Card
2024-04-13,Streaming Bundle,Entertainment,-728,expense,Credit Card
2024-04-13,Freelance Project,Income,13930,income,Primary Checking
2024-04-13,Café,Dining,-659,expense,UPI Wallet
2024-04-14,Freelance Project,Income,22709,income,Primary Checking
2024-04-17,Cash Withdrawal,Cash,-1014,expense,ATM
2024-04-20,Café,Dining,-245,expense,UPI Wallet
2024-04-21,Café,Dining,-649,expense,UPI Wallet
2024-04-21,Uber,Transport,-283,expense,UPI Wallet
2024-04-24,Bookstore,Education,-1549,expense,Credit Card
2024-04-28,BigBasket,Groceries,-2249,expense,Credit Card
2024-05-01,Salary,Income,97532,income,Primary Checking
2024-05-03,Rent,Housing,-23619,expense,Primary Checking
2024-05-04,Amazon,Shopping,-3104,expense,Credit Card
2024-05-04,Mutual Fund Dividend,Income,2382,income,Brokerage
